ObjectName,Number,Quad,Angel from 12h,Minutes / 60,Level of Consciousness,Emoji,Emoji Text,Energetic Frequency,Associated Emotional State,View of Life,Key to transcend to the next level,What We Experience,State of Consciousness,Location
h1000,24,4,359,60,Full Consciousness,🌕,Full Moon,1000,Ineffable,Is,"Disappearance of material desires, purpose is effortlessly supported",Synchronicity & Extraordinary Outcomes,Pure Consciousness,Heaven
h900,23,4,359,60,Supra Casual Truth,🪁,Kite,900,Ineffable,Is,"Disappearance of material desires, purpose is effortlessly supported",Synchronicity & Extraordinary Outcomes,Enlightenment,Heaven
h850,22,4,359,60,Divine Grace & Love,❤️‍🩹,Heart on Fire,850,Ineffable,Is,"Disappearance of material desires, purpose is effortlessly supported",Synchronicity & Extraordinary Outcomes,Enlightenment,Heaven
h800,21,4,359,60,The Great Void,🕳️,Hole,800,Ineffable,Is,Allowing,Synchronicity & Extraordinary Outcomes,Enlightenment,Heaven
h700,20,4,359,60,Awareness,👁️,Eye,700,Ineffable,Is,Allowing,Synchronicity & Extraordinary Outcomes,Over Mind,Heaven
h670,19,4,359,60,Non-Duality,☯️ ,Yin-Yang,670,Ineffable,Is,Allowing,Synchronicity & Extraordinary Outcomes,Over Mind,Heaven
h600,18,4,330,55,Presence / Peace,🕊️,Dove,600,Bliss,Perfect,Allowing,Synchronicity & Extraordinary Outcomes,Illuminated Mind,Heaven
h540,17,4,300,50,Oneness / Joy,🌞,Sun,540,Serenity,Complete,Allowing,Synchronicity & Extraordinary Outcomes,Illuminated Mind,Heaven
h500,16,4,270,45,Inner Love,💖,Sparkling Heart,500,Reverence,Benign,Allowing,Synchronicity & Extraordinary Outcomes,Higher Mind,Paradise
h440,15,3,255,42’30’’,Inner Wisdom,🦉,Inner Wisdom,440,,,Meaning,Happyness & Productivity,Transcendence,Paradise
h400,14,3,240,40,Inner Light / Reason,💡,Light Bulb,400,Understanding,Meaningful,Meaning,Happyness & Productivity,Super Mind,In Between
h350,13,3,225,37’30’’,Acceptance,🤝,Handshake,350,Forgiveness,Harmonious,Stepping out with Passion,Happyness & Productivity,Flow,In Between
h310,12,3,210,35,Willingness,🙏,Folded Hands,310,Optimism,Hopeful,Purpose,Happyness & Productivity,In The Zone,In Between
h250,11,3,195,32’30’’,Neutrality,↕️,Up-Down Arrow,250,Trust,Satisfactory,Purpose,Happyness & Productivity,Getting By,In Between
h200,10,3,180,30,Courage,🦁,Lion,200,Affirmation,Feasible,Appreciation,Happyness & Productivity,Narrowed Consciousness,Purgatory
h175,9,2,175,25’30’’,Pride,🦚,Peacock,175,Scorn,Demanding,Use Energy Positively,Hyperactivity,Mental Illness,Purgatory
h150,8,2,150,25,Anger,💢,Anger Symbol,150,Hate,Antagonistic,Use Energy Positively,Hyperactivity,Suffering,Purgatory
h125,7,2,135,22’30’,Desire,🍓 ,Strawberry,125,Craving,Disappointing,I Am Worthy,Hyperactivity,Suffering,Purgatory
h100,6,2,120,20’,Fear,😱,Fearful Face,100,Anxiety,Frightening,Overcome Fear,Hyperactivity,Drug Intoxication,Purgatory
h75,5,2,105,17’30’’,Grief,😢,Crying Face,75,Regret,Tragic,Overcome Fear,Inaction,"Out-of-Body Experience, Near-Death Experience, Possession States, Unconsciousness, REM Sleep, Coma, Death",Hell
h50,4,2,90,15,Apathy,😶,Neutral Face,50,Despair,Hopeless,Take Action,Inaction,"Out-of-Body Experience, Near-Death Experience, Possession States, Unconsciousness, REM Sleep, Coma, Death",Hell
h30,3,1,60,10,Guilt,😔,Pensive Face,30,Blame,Evil,Take Action,Inaction,"Out-of-Body Experience, Near-Death Experience, Possession States, Unconsciousness, REM Sleep, Coma, Death",Hell
h20,2,1,30,5,Shame,🙈,See-No-Evil Monkey,20,Humiliation,Miserable,Take Action,Inaction,"Out-of-Body Experience, Near-Death Experience, Possession States, Unconsciousness, REM Sleep, Coma, Death",Hell
h1,1,1,0,0,Death,💀,Skull,1,Dying,I am food,Take Action,Inaction,"Out-of-Body Experience, Near-Death Experience, Possession States, Unconsciousness, REM Sleep, Coma, Death",Hell
